artist,genre_group,popularity_gini,n_tracks,mean_popularity
Nils Frahm,classical,0.026605504587155826,10.0,54.5
Max Richter,classical,0.029296235679214355,10.0,61.1
Ólafur Arnalds,classical,0.030017152658661894,10.0,58.3
Hania Rani,classical,0.03599999999999981,10.0,52.5
Ashkenazy,classical,0.036602451838879,10.0,57.1
Joep Beving,classical,0.04535519125683041,10.0,54.9
Yunchan Lim,classical,0.05206185567010291,10.0,38.8
Ludovico Einaudi,classical,0.05395894428152492,10.0,68.2
Sheku Kanneh-Mason,classical,0.05750487329434684,10.0,51.3
Jonny Greenwood,classical,0.05929978118161916,10.0,45.7
Caroline Shaw,classical,0.05934065934065935,10.0,36.4
Bryce Dessner,classical,0.06586826347305386,10.0,33.4
Hauschka,classical,0.0772413793103448,10.0,29.0
Yuja Wang,classical,0.07991071428571428,10.0,44.8
Arvo Pärt,classical,0.0949656750572081,10.0,43.7
Philip Glass,classical,0.09535864978902953,10.0,47.4
Pavarotti,classical,0.10078740157480315,10.0,50.8
Michael Nyman,classical,0.11336515513126488,10.0,41.9
John Adams,classical,0.13305084745762707,10.0,23.6
Solti,classical,0.13347639484978524,10.0,23.3
Klaus Mäkelä,classical,0.16637554585152836,10.0,22.9
Alexandra Whittingham,classical,0.18054794520547945,10.0,36.5
Fauré Ensemble,classical,0.1832876712328766,10.0,36.5
Anna Thorvaldsdottir,classical,0.22343749999999996,10.0,12.8
J.S. Bach,classical,0.2857142857142858,3.0,2.3333333333333335
Snarky Puppy,jazz,0.025892857142857162,10.0,44.8
Tom Misch,jazz,0.031136738056013025,10.0,60.7
Gregory Porter,jazz,0.03345259391771016,10.0,55.9
Shai Maestro,jazz,0.035211267605633756,10.0,35.5
Robert Glasper,jazz,0.03769230769230769,10.0,52.0
Victor Ray,jazz,0.03840830449826971,10.0,57.8
Jacob Collier,jazz,0.03924528301886787,10.0,53.0
Tigran Hamasyan,jazz,0.041538461538461524,10.0,39.0
Brad Mehldau,jazz,0.046352941176470486,10.0,42.5
Kamasi Washington,jazz,0.05010309278350511,10.0,48.5
Mammal Hands,jazz,0.051999999999999824,10.0,40.0
GoGo Penguin,jazz,0.05576036866359435,10.0,43.4
The Teskey Brothers,jazz,0.05679442508710797,10.0,57.4
Hiromi Uehara,jazz,0.06168224299065406,10.0,42.8
José James,jazz,0.06538461538461537,10.0,46.8
Nubya Garcia,jazz,0.06723163841807911,10.0,35.4
Jordan Rakei,jazz,0.071214953271028,10.0,53.5
Vijay Iyer,jazz,0.07894736842105243,10.0,24.7
Christian Scott aTunde Adjuah,jazz,0.07953795379537953,10.0,30.3
Esperanza Spalding,jazz,0.08669950738916254,10.0,40.6
Melody Gardot,jazz,0.08838951310861409,10.0,53.4
Laura Mvula,jazz,0.1049230769230769,10.0,32.5
Cécile McLorin Salvant,jazz,0.10781249999999987,10.0,38.4
Ambrose Akinmusire,jazz,0.12213114754098342,10.0,24.4
Jeff Goldblum,jazz,0.49275362318840576,6.0,30.666666666666668
